Yearmonth	NAO_value
199011	-0.24
199012	0.22
199101	0.86
199102	1.04
199103	-0.20
199111	0.48
199112	0.46
199201	-0.13
199202	1.07
199203	0.87
199211	1.19
199212	0.47
199301	1.60
199302	0.50
199303	0.67
199311	2.56
199312	1.56
199401	1.04
199402	0.46
199403	1.26
199411	0.64
199412	2.02
199501	0.93
199502	1.14
199503	1.25
199511	-1.38
199512	-1.67
199601	-0.12
199602	-0.07
199603	-0.24
199611	-0.56
199612	-1.41
199701	-0.49
199702	1.70
199703	1.46
199711	-0.90
199712	-0.96
199801	0.39
199802	-0.11
199803	0.87
199811	-0.28
199812	0.87
199901	0.77
199902	0.29
199903	0.23
199911	0.65
199912	1.61
200001	0.60
200002	1.70
200003	0.77
200011	-0.92
200012	-0.58
200101	0.25
200102	0.45
200103	-1.26
200111	0.63
200112	-0.83
200201	0.44
200202	1.10
200203	0.69
200211	-0.18
200212	-0.94
200301	0.16
200302	0.62
200303	0.32
200311	0.86
200312	0.64
200401	-0.29
200402	-0.14
200403	1.02
200411	0.73
200412	1.21
200501	1.52
200502	-0.06
200503	-1.83
200511	-0.31
200512	-0.44
200601	1.27
200602	-0.51
200603	-1.28
200611	0.44
200612	1.34
200701	0.22
200702	-0.47
200703	1.44
200711	0.58
200712	0.34
200801	0.89
200802	0.73
200803	0.08
200811	-0.32
200812	-0.28
200901	-0.01
200902	0.06
200903	0.57
200911	-0.02
200912	-1.93
201001	-1.11
201002	-1.98
201003	-0.88
